name,throne,sphere,holy symbol,FIRST INVOCATION,FIRST LITURGY,
Marduk,Righteous,God of Law ,an unblinking eye worn on a linen headband,"unless you choose otherwise, you can never be Blinded","once per Session, you may proclaim the Law of the Authority.  Your lips will rip and bleed from the shockwave. You will be partially deaf for two days afterwards. Each Moment, you deal [sum] Force damage (Save for half) to all creatures in a Nearby cone in front of you, and take [dice] damage. While shouting, you cannot move or be moved, but can still fall.",
Mitra,Righteous,Seraph of Obedience and Protection,"an iron thorn, coincidentally in the shape of a modern bullet, suspended from a chain around the neck","Swear allegiance to, or swear to protect, a single individual.  You cannot be Charmed, Geased, or otherwise ""mind controlled"" in such a way that your actions would directly harm this person.  This individual must the same as the one in the First Liturgy.  You may change your allegiance after a Bivouac or longer.","Swear allegiance to, or swear to protect, a single individual.  You may heal all damage to this individual's Flesh by using 2 Faith Dice, as the Sacrament ""Lay on Hands"",  This individual must the same as the one in the First Invocation.  You may change your allegiance after a Bivouac or longer.",
Vár,Righteous,Seraph of Oaths and Agreements,a crystal vial containing the blood and spit of two Mortals who have struck a deal with one another,"you can witness an oath and bind the word between two parties.  If either party breaks their oath (Arbiter's discretion), the party that made the false oath is inflicted with a random curse (or curses).  If the oath is upheld (Arbiter's discretion), gain 1 Faith.",etymologia,
Fortuna,Ruinous,Seraph of Luck,an Ace of spades on a playing card sized bronze tile,"once per Session, you may draw a card and use its effect on yourself, allies, or monsters. You must use its effect in Moments (before your next turn in Combat, for example). Spades: if someone or something succeeds, they fail instead. Clubs: if someone or something fails, they succeed instead; Hearts: if someone or something is damaged by something, they are healed instead (same die roll i.e. 5 damage becomes 5 healing ); Diamonds: if someone or something is healed by something, they are damaged instead (same die roll i.e. 5 healing becomes 5 damage)","you must have a deck of cards to use your ability.  Roll any number of Faith dice.  1 is a spade, 2 is a club, 3 is a diamond, 4 is a heart.  Draw the top card off your deck.  If a card's suit matches one or more of the Faith die, you can add their result to any {ro} attempt made by you or an ally in the next Minutes. ",
Nergal,Ruinous,God of Dooms,an iron mask,you get +1 to your Saves vs. Doom,you may use your Faith to cast the following spells: Scything Disc of Nog; and 3 spells of the Force paradigm (your choice),SPL
Set-Utekh,Ruinous,Archfiend of Destruction,"a ceramic circle broken in half, worn on the belt or a necklace","once per Session, you may sunder any mundane (non-magical) item approximately 1m in length by holding it and concentrating for Minutes. Examples might be a sword, a metal bar, or an arm.","for as long as you have Faith, you may add +[dice] damage to any of your successful attacks. You can perform this Liturgy before or immediately after rolling your damage.",DAM
The Corpulent One,Ruinous,God of Hunger,a necklace of teeth,"unless you choose otherwise, you will not become Disgusted or Shaken","During a Bivouac, you may gorge yourself to increase your Max Flesh by +[dice]x2.  Each Faith Die you roll is a Significant Item (it's hard to carry around all that weight) and requires you to roll 1 {ud} of Personal Provisions. The bonus to Flesh lasts until your next Bivouac.",
The Morrigan,Ruinous,Archon(s) of Fate,"a triangle whose points extend into counterclockwise swirls, usually worn on a headband or scarf","once per Session, you can say what the next die roll will be. You must make the declaration before the die is rolled","once per Session, you may add *or subtract* the [sum] of up to {lvl} Faith dice on any {ro} attempt made by yourself or someone Close to you.",
Vecna,Ruinous,Archfiend of Curses,a severed hand hung from the neck or belt,you get +1 to you Saves vs. Hexes,tk tk tk curse,
Xibalba,Ruinous,Fiendish Prince of Fear,a white cowl and blank mask,"unless you choose otherwise, you will not become Afraid",You may use your Faith to cast the following spells: Sonorous Seeker; Fear; Embed Memory; Fade; Mind Labyrinth; Cacaphony; Scything Disc of Nog,SPL
